	bilabial	bilabial+voiced	labiodental	labiodental+voiced	linguolabial	linguolabial+voiced	dental	dental+voiced	alveolar	alveolar+voiced	postalveolar	postalveolar+voiced	retroflex	retroflex+voiced	palatal	palatal+voiced	velar	velar+voiced	uvular	uvular+voiced	pharyngeal/epiglottal	pharyngeal/epiglottal+voiced	glottal	glottal+voiced	labialized+velar	labialized+velar+voiced	labialized+palatal+voiced	velarized+alveolar+voiced	postalveolar+velar	alveolar+palatal+voiced
nasal		m		ɱ		n̼		n̪		n		n̠		ɳ		ɲ		ŋ		ɴ										ȵ
stop	p	b	p̪	b̪	t̼	d̼	t̪	d̪	t	d	t̠	d̠	ʈ	ɖ	c	ɟ	k	ɡ	q	ɢ	ʡ		ʔ							
fricative+sibilant							s̪	z̪	s	z	ʃ	ʒ	ʂ	ʐ	ɕ	ʑ														
fricative	ɸ	β	f	v	θ̼	ð̼	θ	ð	θ̠	ð̠, ɹ̝		ɹ̠˔		ɻ˔	ç	ʝ	x	ɣ	χ	ʁ	ħ	ʕ	h	ɦ	ʍ				ɧ	
approximant		β̞		ʋ				ð̞		ɹ		ɹ̠		ɻ		j		ɰ		ʁ̞				ʔ̞		w	ɥ			
tap/flap		ⱱ̟		ⱱ		ɾ̼				ɾ				ɽ						ɢ̆		ʡ̆								
trill		ʙ								r		r̠		ɽr						ʀ	ʜ	ʢ								
fricative+lateral									ɬ	ɮ				ɭ˔		ʎ̝		ʟ̝												
approximant+lateral								l̪		l		l̠		ɭ		ʎ		ʟ		ʟ̠								ɫ		
tap/flap+lateral										ɺ				ɭ̆, ɺ̢		ʎ̆		ʟ̆												
click	ʘ						ǀ		ǃ						ǂ															
click+lateral									ǁ																					
implosive		ɓ								ɗ				ᶑ		ʄ		ɠ		ʛ										
