simple consonant	bilabial	bilabial, voiced	labiodental	labiodental, voiced	linguolabial	linguolabial, voiced	dental	dental, voiced	alveolar	alveolar, voiced	postalveolar	postalveolar, voiced	retroflex	retroflex, voiced	palatal	palatal, voiced	velar	velar, voiced	uvular	uvular, voiced	pharyngeal/epiglottal	pharyngeal/epiglottal, voiced	glottal	glottal, voiced	postalveolar, velar	alveolar, palatal, voiced
nasal		m		ɱ		n̼		(n)		n		n̠, (n)		ɳ		ɲ		ŋ		ɴ						ȵ
stop	p	b	p̪	b̪	t̼	d̼	(t)	(d)	t	d	t̠, (t)	d̠, (d)	ʈ	ɖ	c	ɟ	k	ɡ	q	ɢ	ʡ		ʔ			
fricative, sibilant									s	z	ʃ	ʒ	ʂ	ʐ	ɕ	ʑ										
fricative	ɸ	β	f	v	θ̼	ð̼	θ	ð	θ̠	ð̠, ɹ̝		ɹ̠˔		ɻ˔	ç	ʝ	x	ɣ	χ	ʁ	ħ	ʕ	h	ɦ	ɧ	
fricative, labialized																	ʍ									
approximant		β̞		ʋ				ð̞		ɹ		ɹ̠, (ɹ)		ɻ		j, (i̯), (ȋ)		ɰ, (ɯ̯), (ɯ̑)		ʁ̞				ʔ̞		
approximant, labialized																ɥ, (y̯), (y̑)		w, (u̯), (ȗ)								
tap/flap		ⱱ̟		ⱱ		ɾ̼		(ɾ)		ɾ		(ɾ)		ɽ						ɢ̆		ʡ̆				
trill		ʙ						(r)		r		r̠, (r)		ɽr						ʀ	ʜ	ʢ				
fricative, lateral							(ɬ)	(ɮ)	ɬ	ɮ	(ɬ)	(ɮ)		ɭ˔		ʎ̝		ʟ̝								
approximant, lateral								(l)		l		l̠, (l)		ɭ		ʎ		ʟ		ʟ̠						
approximant, lateral, velarized								(ɫ)		ɫ		(ɫ)														
tap/flap, lateral								(ɺ)		ɺ		(ɺ)		ɭ̆, ɺ̢		ʎ̆		ʟ̆								
click	ʘ						ǀ		ǃ		(ǃ)		‼		ǂ											
click, lateral							(ǁ)		ǁ		(ǁ)															
implosive		ɓ								ɗ				ᶑ		ʄ		ɠ		ʛ						
